Target	Compound	True	RFR	MLPR	LR	Keras
CHEMBL260	CHEMBL2409781	-0.889701	-0.7533809268127443	-0.33835408651921905	-0.2896481779829795	-0.9186164140701294
CHEMBL4722	CHEMBL604485	-0.424614	-0.21126962791843631	0.17598373356196217	-0.34403641073709723	-0.09288525581359863
CHEMBL2695	CHEMBL2414545	-0.681931	-0.8423025955425745	-0.8758903220958181	-0.7860012061810104	-0.842121958732605
CHEMBL3038477	CHEMBL3924407	0.889247	0.6822524291137916	1.1207179463428145	0.5243473916256163	0.8541308045387268
CHEMBL2996	CHEMBL306623	0.405313	0.32913525039252334	-0.15928342104515208	0.12598758899263757	0.0016770362854003906
CHEMBL4722	CHEMBL2071201	1.354334	0.1801480857967944	0.7098170747388172	0.1817880893359911	1.2384722232818604
CHEMBL2148	CHEMBL385937	0.621489	-0.44468237166181496	-0.5553637913018872	-0.732137964393581	-0.17415595054626465
CHEMBL2147	CHEMBL3973689	0.929947	0.04009085289215831	-0.6272256952462749	0.09503939248916693	-0.23216533660888672
CHEMBL5147	CHEMBL1241587	-1.314087	-1.2234583062051276	-1.089880318362988	-0.9539190488883209	-1.3438414335250854
CHEMBL308	CHEMBL1964260	0.36351	0.2500025642209445	0.21245442982831442	0.050974282546196736	0.3896312117576599
CHEMBL3234	CHEMBL1242294	0.732618	-0.35363189517999305	0.6283041107080167	-0.33062252137786635	0.03997248411178589
CHEMBL4523	CHEMBL1910914	0.889247	0.27665383479385197	0.2931154454507156	0.1946754424242182	0.5174429416656494
CHEMBL2358	CHEMBL3931631	-0.889701	-0.972784883839638	-0.9147088992098076	-0.9940397216853276	-0.9551461935043335
CHEMBL1936	CHEMBL3086175	-0.070656	-0.19046947291461494	0.24604041679151184	-0.33730236053976115	0.28341567516326904
CHEMBL3629	CHEMBL3681199	0.197102	0.6015484396597229	0.8859010815926225	0.4096198726268635	0.5198848247528076
CHEMBL279	CHEMBL607707	-1.330598	-0.3999910147322377	-1.290805439107246	-0.07961195885685396	-1.7300869226455688
CHEMBL1824	CHEMBL3930270	-0.321974	0.07502031181848808	0.31277291074950775	-0.12487315516787656	-0.37833547592163086
CHEMBL203	CHEMBL3905242	-0.330282	-0.27463314119589316	0.1694321363996617	-0.1602606269259913	-0.22903227806091309
CHEMBL1862	CHEMBL381743	-0.889701	-0.2980563153526194	-0.10245422449665821	0.06789116053806454	-0.1817302703857422
CHEMBL3629	CHEMBL2087021	-1.470716	-1.5444167457101452	-1.5761055083146998	-1.4177676715954743	-1.7359557151794434
CHEMBL3553	CHEMBL3747305	-0.985061	-0.18831602452982713	-1.0168146978233221	0.2274895336912735	-0.7847613096237183
CHEMBL203	CHEMBL3797606	-0.386196	-0.30374624908737885	-0.5102582862534482	0.07121946752051123	-0.6103267669677734
CHEMBL3529	CHEMBL3939994	-0.889701	-0.31370397234711705	-1.027342758369728	-0.19696642264188127	-0.7519583106040955
CHEMBL203	CHEMBL596957	0.126672	-0.1016299951364677	-0.17553704082581	-0.11175361549887186	-0.13475584983825684
CHEMBL1936	CHEMBL1823220	-1.231413	-1.0917445744062173	-0.8859776794123936	-0.90325367076884	-1.163676142692566
CHEMBL299	CHEMBL1996510	2.046479	0.3647570672727272	1.0538322641499818	0.6210690376140913	1.1709046363830566
CHEMBL1824	CHEMBL214419	-0.495043	-0.11893723793775997	-0.18795128933096217	0.1288977087185199	-0.45978403091430664
CHEMBL203	CHEMBL3752337	-0.889701	0.164166714696165	-0.07841047877268159	0.07121946752051123	-0.19957733154296875
CHEMBL4040	CHEMBL4089159	0.190717	-0.550086708941322	-1.1521618267433273	-0.1725315809621727	-1.1898200511932373
CHEMBL279	CHEMBL3892632	-1.58349	-1.174549280901888	-1.3174298300486997	-1.0083188684092437	-1.3441373109817505
CHEMBL203	CHEMBL2325098	-0.757399	-0.3351785062834684	-0.17683166443482135	-0.7204467553680775	-0.3270418643951416
CHEMBL2148	CHEMBL3675908	-0.889701	-0.6479659935414065	-0.7154661121881167	-0.506782432308413	-0.6316397190093994
CHEMBL2828	CHEMBL3965423	0.256113	0.9971722087806402	0.7549450895464277	0.8406013449402311	0.8770058155059814
CHEMBL2599	CHEMBL2336005	0.532212	-0.757277672051948	-0.6955860398050524	-0.9397504092479106	-0.7956113815307617
CHEMBL3973	CHEMBL3936673	0.150974	0.31553492766365043	-0.013895405290762386	0.3126768131219578	0.3702991008758545
CHEMBL1957	CHEMBL318804	0.160284	-0.6357870343807431	-1.2188079449091325	-0.6401118465223614	-0.9497382640838623
CHEMBL2095942	CHEMBL139653	0.975446	0.09034024927823275	-0.5222571495423872	0.04314245117594634	0.3655646741390228
CHEMBL279	CHEMBL1276981	0.75927	0.7098826707220334	0.9398171922116147	0.19089499924081144	-0.17097747325897217
CHEMBL2828	CHEMBL2312652	-1.470716	-1.0454987799999997	-0.591788931753247	-0.8948493124091706	-0.723740816116333
CHEMBL2185	CHEMBL1964276	0.011539	0.6286436210185924	0.4379989080020623	0.5752049214461687	1.0444380044937134
CHEMBL2094126	CHEMBL1270230	-1.273387	-0.4141949154182296	-0.2932250462980509	-0.2321160146432951	0.261165976524353
CHEMBL2148	CHEMBL3932456	-0.698757	-0.4849863201826194	-0.616797965451729	-0.6628231401095748	-0.528817892074585
CHEMBL4523	CHEMBL3676261	0.100737	-0.13852329419015003	-0.38721533231198424	0.6805499020911154	-0.4240450859069824
CHEMBL2959	CHEMBL481362	-1.511416	-0.37969765941804856	-0.7684051649376844	-0.04339332974081542	-0.5017492175102234
CHEMBL1936	CHEMBL3673962	-0.000227	-0.048733047643917705	-0.00337582319773359	-0.15827169174990297	0.002038240432739258
CHEMBL4630	CHEMBL517744	0.46486	-0.013478986294940641	0.12350069862268132	0.049568486986120375	0.31471866369247437
CHEMBL1913	CHEMBL1940272	1.354334	0.5975705011050342	1.0430614318977587	0.9448547191202914	0.6260843276977539
CHEMBL2148	CHEMBL1079594	1.778721	0.17531751807143772	1.0136793612296982	-0.11971544866719619	0.826087236404419
CHEMBL1913	CHEMBL120077	1.224357	-0.47157425643180717	-0.7990846399117106	-0.9567276475743733	-0.6678684949874878
CHEMBL203	CHEMBL1242198	-0.676603	-0.9994920291933209	-0.798654590337943	-0.777754789317993	-0.4113001823425293
